Gene	A_vs_B-FC	A_vs_B-p	A_vs_B-FDR	C_vs_B-FC	C_vs_B-p	C_vs_B-FDR	C_vs_D-FC	C_vs_D-p	C_vs_D-FDR	C_vs_E-FC	C_vs_E-p	C_vs_E-FDR
4933402J07Rik	-2	0.051	0.097	-0.04	0.86	0.9	0.06	0.77	0.8	2.1	0.018	0.082
4933402N03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933402N22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933402P03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933403O03Rik	2.9	0.0094	0.021	-0.26	0.87	0.9	1.4	0.32	0.69	-1.5	0.27	0.62
4933403O08Rik	2.5	0.054	0.1	2.1	0.0014	0.053	0.12	0.86	0.89	-2.4	0.00054	0.012
4933404K08Rik	0.16	0.002	0.0048	-1.2	0.31	0.83	-1.1	0.34	0.72	-1.3	0.27	0.63
4933405E24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933405L10Rik	-0.88	0.53	0.61	-1.2	0.26	0.81	-1.1	0.3	0.66	-0.23	0.68	0.72
4933405O20Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
4933406D12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933406F09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933406G16Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
4933406I18Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
4933406J08Rik	2.3	0.091	0.16	0.47	0.19	0.69	-3	0.0082	0.053	-5.3	0.0015	0.019
4933406J10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933406K04Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
4933406M09Rik	0.16	0.002	0.0048	-1.2	0.31	0.83	-1.1	0.34	0.72	-1.3	0.27	0.63
4933406P04Rik	-0.61	0.2	0.3	1.6	0.033	0.22	2	0.0061	0.045	2.6	0.00058	0.012
4933407E24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933407I08Rik	-1.2	0.42	0.52	-0.04	0.86	0.9	0.06	0.77	0.8	1.3	0.3	0.66
4933407K13Rik	-0.38	0.14	0.22	0.88	0.038	0.24	1.7	0.0013	0.02	2.1	0.00015	0.0081
4933407L21Rik	-2.2	0.16	0.25	1.1	0.33	0.84	1.2	0.26	0.59	3.4	0.0011	0.016
4933408B17Rik	-0.05	0.7	0.76	0.53	0.23	0.75	1	0.051	0.19	1.1	0.041	0.15
4933408J17Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
4933408N05Rik	0.95	0.29	0.4	-2.2	0.073	0.37	-2.2	0.079	0.26	-3.1	0.011	0.057
4933409G03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933411G06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933411G11Rik	2.1	0.17	0.26	0.33	0.77	0.9	2.4	0.022	0.1	0.27	0.81	0.83
4933411K16Rik	1.4	0.073	0.13	2.3	0.25	0.78	1.8	0.33	0.71	0.45	0.8	0.82
4933411K20Rik	-0.11	0.18	0.27	0.66	0.029	0.21	0.2	0.25	0.59	0.32	0.11	0.32
4933411O13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933412A08Rik	0.16	0.002	0.0048	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.9	0.28	0.63
4933412E24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933413C19Rik	1	0.31	0.41	3.8	0.00025	0.042	4.2	7.4e-05	0.008	3.1	0.015	0.071
4933413G19Rik	-0.21	0.84	0.88	-0.63	0.66	0.9	2.1	0.15	0.44	2.3	0.18	0.46
4933413J09Rik	0.16	0.002	0.0048	1.5	0.3	0.83	-3.2	0.024	0.11	-3.4	0.019	0.085
4933413L06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933414I15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933415A04Rik	-0.32	0.16	0.25	1	0.0029	0.07	1.2	0.0011	0.018	1.5	0.0022	0.022
4933415D12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933415F23Rik	0.16	0.002	0.0048	2.2	0.017	0.15	0.06	0.77	0.8	-0.1	0.64	0.68
4933416C03Rik	4	0.013	0.029	1.8	0.027	0.2	-1.7	0.071	0.24	-5.7	0.00035	0.01
4933416E03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933416E14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933416I08Rik	0.16	0.002	0.0048	0.97	0.26	0.81	-3.9	0.0081	0.053	-4.1	0.0065	0.041
4933417A18Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933421A08Rik	0.16	0.92	0.94	-0.52	0.79	0.9	-0.21	0.88	0.9	-0.36	0.85	0.87
4933421I07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933421O10Rik	-0.99	0.0093	0.021	1.7	0.0091	0.11	1.9	0.0022	0.026	2.9	0.00065	0.013
4933422H20Rik	0.53	0.71	0.77	1.7	0.059	0.32	0.43	0.7	0.8	-0.1	0.91	0.93
4933423P22Rik	-1.4	9.5e-06	0.0016	-0.04	0.86	0.9	0.06	0.77	0.8	1.5	0.0028	0.025
4933424L21Rik	0.16	0.002	0.0048	1.4	0.32	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
4933424M12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933425H06Rik	1.3	0.31	0.41	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
4933425L06Rik	-0.63	0.46	0.55	0.48	0.34	0.86	-4.8	5.9e-05	0.008	-4.2	0.0042	0.032
4933426D04Rik	0.16	0.002	0.0048	-1.2	0.31	0.83	-1.1	0.34	0.72	-1.3	0.27	0.63
4933426K07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933426M11Rik	-0.22	0.14	0.22	-0.03	0.74	0.9	-0.23	0.072	0.24	-0.01	0.9	0.91
4933427D06Rik	1.5	0.024	0.05	1.5	0.0016	0.056	-0.71	0.054	0.2	-2.2	0.00034	0.01
4933427D14Rik	-0.34	0.037	0.072	0.12	0.19	0.67	0.87	0.00055	0.013	1.2	0.00052	0.012
4933427E11Rik	-0.67	0.21	0.31	2	0.29	0.82	0.75	0.65	0.8	1.4	0.39	0.68
4933427E13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933427G17Rik	-1.4	0.25	0.36	2.3	0.021	0.18	1.9	0.13	0.39	3.4	0.0058	0.038
4933427G23Rik	0.16	0.92	0.94	-1.2	0.31	0.83	0.07	0.96	0.97	-0.1	0.94	0.95
4933427I04Rik	0.16	0.002	0.0048	1.7	0.31	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
4933427I22Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933427J07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933428C19Rik	0.16	0.002	0.0048	-2	0.014	0.14	-1.9	0.013	0.073	-2	0.0098	0.053
4933428G20Rik	-0.26	0.77	0.82	-0.2	0.92	0.94	0.27	0.84	0.87	0.55	0.71	0.75
4933428M09Rik	1.6	0.32	0.42	1.8	0.049	0.29	-1.8	0.19	0.52	-3.4	0.00083	0.014
4933430I17Rik	-0.72	0.019	0.041	-0.33	0.35	0.87	-0.06	0.69	0.8	0.66	0.019	0.083
4933430M04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933431E20Rik	-0.63	0.0094	0.021	0.95	0.022	0.18	0.97	0.019	0.094	1.6	0.0033	0.028
4933431K23Rik	-3	0.046	0.088	1.9	0.28	0.82	2.3	0.015	0.079	5.3	0.00095	0.015
4933433C11Rik	0.77	0.64	0.71	-0.57	0.16	0.62	-4.2	0.025	0.11	-5	0.003	0.026
4933433P16Rik	-1	0.43	0.53	0.75	0.3	0.82	0.06	0.77	0.8	1.1	0.31	0.67
4933434E20Rik	-0.19	0.013	0.029	0.23	0.033	0.23	0.69	0.00076	0.016	0.88	0.00053	0.012
4933434I20Rik	1.9	0.33	0.43	2.7	0.033	0.22	-1.8	0.3	0.67	-3.7	0.0088	0.05
4933434M16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933435F18Rik	0.16	0.002	0.0048	2.2	0.026	0.2	0.06	0.77	0.8	-0.1	0.64	0.68
4933436C20Rik	-0.4	0.35	0.45	0.17	0.46	0.9	1.3	0.0042	0.036	1.7	0.01	0.054
4933436I01Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933437N03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933438A12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
4933438K21Rik	-2.8	0.031	0.063	-1.1	0.56	0.9	-1.8	0.31	0.68	1.1	0.54	0.68
4933439C10Rik	-0.51	0.19	0.28	-0.71	0.37	0.89	0.84	0.036	0.15	1.3	0.00089	0.014
4933439K11Rik	0.31	0.6	0.68	1.4	0.03	0.21	0.94	0.12	0.36	0.64	0.3	0.66
4933440M02Rik	0.95	0.29	0.4	2.5	0.054	0.31	1.6	0.16	0.45	0.69	0.39	0.68
4933440N22Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
5031410I06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5031414D18Rik	-1.8	0.28	0.39	3.8	0.00025	0.042	1.5	0.26	0.59	3.2	0.00031	0.0098
5031425E22Rik	-0.68	0.007	0.016	0.14	0.76	0.9	0.33	0.48	0.8	1	0.075	0.23
5031425F14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5031434C07Rik	-0.45	0.78	0.84	-0.64	0.71	0.9	-0.88	0.56	0.8	-0.42	0.81	0.84
5031439G07Rik	-0.56	0.037	0.072	1.1	0.023	0.18	1.7	0.0031	0.031	2.2	0.0015	0.018
5033411D12Rik	-1	0.65	0.72	2.7	0.036	0.24	0.07	0.95	0.96	1.1	0.56	0.68
5033423K11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5033430I15Rik	-1.1	0.19	0.28	-1.8	0.32	0.84	-0.08	0.86	0.88	0.99	0.13	0.36
5133400J02Rik	0.15	0.43	0.53	0.26	0.52	0.9	-0.04	0.92	0.94	-0.18	0.6	0.68
5330411J11Rik	0.16	0.002	0.0048	-0.09	0.75	0.9	-4.5	0.00011	0.0087	-4.6	9.9e-05	0.0073
5330413P13Rik	-3.4	0.084	0.15	-0.02	0.99	0.99	-0.17	0.91	0.93	3.2	0.07	0.22
5330416C01Rik	-1.8	0.41	0.51	-1.4	0.17	0.64	-2.1	0.027	0.12	-0.34	0.84	0.86
5330417C22Rik	0.36	0.72	0.78	0.29	0.38	0.9	-0.67	0.35	0.74	-1	0.11	0.32
5330417H12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5330426P16Rik	-0.87	0.49	0.58	0.44	0.69	0.9	-0.39	0.76	0.8	0.47	0.59	0.68
5330429C05Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5330430P22Rik	-1	0.29	0.4	0.31	0.79	0.9	1.5	0.12	0.37	2.5	0.029	0.11
5330434G04Rik	-1.5	0.071	0.13	4.4	0.00014	0.042	6.2	0.00033	0.012	7.6	1.3e-05	0.007
5330438D12Rik	-0.76	0.051	0.096	0.27	0.6	0.9	-0.08	0.84	0.86	0.68	0.15	0.4
5330438I03Rik	0.16	0.92	0.94	-0.04	0.86	0.9	1.2	0.26	0.59	1.1	0.31	0.67
5330439A09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430401F13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430402E10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430402O13Rik	0.22	0.9	0.92	-0.47	0.45	0.9	-2.7	0.12	0.37	-2.9	0.028	0.11
5430403G16Rik	-0.1	0.72	0.78	0.12	0.37	0.9	-0.62	0.059	0.21	-0.52	0.015	0.071
5430405H02Rik	-0.89	0.0012	0.0048	1.7	0.053	0.3	1.4	0.072	0.24	2.3	0.018	0.08
5430416O09Rik	-1.2	0.098	0.17	0.92	0.49	0.9	1.6	0.19	0.52	2.9	0.061	0.2
5430417L22Rik	-0.15	0.21	0.31	1.5	0.0022	0.063	2.4	3.4e-05	0.008	2.6	7.2e-05	0.007
5430419D17Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
5430421N21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430425J12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430427M07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430427O19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5430435G22Rik	-1.2	0.18	0.27	0.36	0.33	0.84	0.16	0.7	0.8	1.4	0.081	0.25
5530400C23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5530401A14Rik	-2.3	0.052	0.098	-0.04	0.86	0.9	5	6.7e-05	0.008	7.3	4e-04	0.01
5530401N12Rik	-1.4	0.41	0.52	-1.8	0.083	0.4	-2.5	0.0025	0.027	-1.1	0.44	0.68
5530601H04Rik	-0.01	0.97	0.98	-0.13	0.5	0.9	-0.07	0.68	0.8	-0.06	0.81	0.84
5730405O15Rik	-0.86	0.12	0.19	-0.9	0.061	0.33	-0.55	0.12	0.37	0.31	0.49	0.68
5730409E04Rik	0.74	0.014	0.032	0.9	0.037	0.24	0.19	0.5	0.8	-0.55	0.1	0.29
5730412P04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5730416F02Rik	0.71	0.64	0.71	-3.2	0.0086	0.11	-1.1	0.16	0.45	-1.8	0.21	0.52
5730435O14Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
5730437C11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5730446D14Rik	-0.75	0.039	0.076	1	0.022	0.18	3.3	4.9e-05	0.008	4.1	9.3e-05	0.0072
5730455P16Rik	-0.31	0.0017	0.0048	0.37	0.057	0.32	0.45	0.022	0.1	0.76	0.0048	0.035
5730457N03Rik	-2.1	0.14	0.22	-1.6	0.075	0.37	-1.5	0.09	0.29	0.59	0.35	0.68
5730460C07Rik	-1.2	0.42	0.52	-0.04	0.86	0.9	0.06	0.77	0.8	1.3	0.3	0.66
5730480H06Rik	-0.62	0.022	0.046	-0.61	0.41	0.9	-0.03	0.96	0.97	0.59	0.38	0.68
5730507C01Rik	0.95	0.29	0.4	-0.04	0.97	0.98	0.07	0.95	0.96	-0.9	0.28	0.63
5730508B09Rik	0.14	0.51	0.6	1.6	0.00042	0.043	0.92	0.0055	0.042	0.78	0.012	0.061
5730522E02Rik	0.38	0.68	0.75	1.4	0.023	0.18	2.1	0.0026	0.028	1.8	0.068	0.22
5730559C18Rik	0.42	0.0036	0.0084	-0.06	0.86	0.9	0.92	0.042	0.16	0.5	0.17	0.45
5730577I03Rik	-0.9	0.019	0.041	0.84	0.08	0.39	0.7	0.09	0.29	1.6	0.0065	0.041
5730588L14Rik	-0.63	0.32	0.42	-1.8	0.39	0.9	-2.2	0.0065	0.046	-1.6	0.023	0.097
5730596B20Rik	0.65	0.0071	0.016	2.8	0.014	0.14	3.4	0.0062	0.045	2.8	0.011	0.059
5830403L16Rik	1.3	0.31	0.41	1.9	0.31	0.83	1.2	0.26	0.59	-0.1	0.64	0.68
5830403M04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5830411N06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5830415F09Rik	0.48	0.17	0.26	0.4	0.24	0.77	0.06	0.86	0.88	-0.42	0.19	0.48
5830417I10Rik	-0.03	0.69	0.75	-0.18	0.053	0.3	-0.1	0.21	0.55	-0.07	0.5	0.68
5830418K08Rik	0.23	0.085	0.15	-0.09	0.69	0.9	-0.19	0.36	0.77	-0.42	0.11	0.31
5830418P13Rik	0.91	0.45	0.54	0.16	0.23	0.75	-3.2	0.024	0.11	-4.1	0.00034	0.01
5830428H23Rik	-0.61	0.025	0.052	0.68	0.13	0.53	-0.29	0.38	0.79	0.32	0.36	0.68
5830444B04Rik	2.7	0.0031	0.0072	1.3	0.33	0.84	1.5	0.17	0.47	-1.2	0.21	0.51
5830454E08Rik	-0.3	0.76	0.82	0.64	0.27	0.82	0.36	0.5	0.8	0.67	0.49	0.68
5830462I19Rik	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
5830472F04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
5830473C10Rik	-0.63	0.46	0.55	-1.3	0.07	0.36	-2.6	0.021	0.1	-2	0.0015	0.019
5930403N24Rik	-2.4	0.03	0.061	-0.84	0.23	0.75	1.2	0.13	0.39	3.6	0.0069	0.043
5930412G12Rik	-1.4	0.011	0.024	0.26	0.45	0.9	1.6	0.002	0.024	3	0.00016	0.0084
5930422O12Rik	2.1	0.015	0.032	-0.04	0.86	0.9	2	0.0065	0.046	-0.1	0.64	0.68
6030408B16Rik	2.4	0.035	0.07	2.2	0.026	0.2	2.3	0.015	0.079	-0.1	0.64	0.68
6030419C18Rik	0.34	0.49	0.57	1.1	0.18	0.67	2.2	0.015	0.079	1.9	0.0089	0.05
6030445D17Rik	0.16	0.0014	0.0048	-0.93	0.17	0.63	-1.5	0.002	0.024	-1.7	0.0019	0.021
6030452D12Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6030455H03Rik	0.81	0.074	0.13	0.17	0.68	0.9	1.5	0.024	0.11	0.69	0.19	0.48
6030458C11Rik	0.19	0.032	0.065	0.02	0.75	0.9	0	0.95	0.96	-0.19	0.096	0.28
6030468B19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6030469F06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6030471H07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6030498E09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6330403A02Rik	-1.4	0.097	0.16	4.4	0.02	0.17	6	0.0068	0.048	7.4	0.0033	0.027
6330403K07Rik	-1.6	0.058	0.11	1.7	0.00061	0.043	3.7	1.4e-05	0.008	5.3	0.00039	0.01
6330403L08Rik	-1.1	0.0077	0.017	0.68	0.36	0.88	1.6	0.056	0.2	2.7	0.013	0.063
6330408A02Rik	-0.59	0.032	0.065	0.67	0.0031	0.072	1.1	0.0017	0.023	1.7	0.00023	0.009
6330409D20Rik	-1.9	0.036	0.071	1.1	0.29	0.82	2	0.0062	0.045	4	0.00055	0.012
6330416G13Rik	0.19	0.52	0.61	0.16	0.58	0.9	0.34	0.22	0.58	0.15	0.64	0.69
6330418K02Rik	-0.01	0.96	0.97	0.07	0.52	0.9	0.33	0.17	0.47	0.34	0.093	0.28
6330444E15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6330549D23Rik	0.1	0.34	0.45	0.33	0.086	0.41	0.38	0.016	0.083	0.28	0.069	0.22
6330562C20Rik	0.16	0.89	0.91	0.75	0.3	0.82	0.85	0.26	0.59	0.69	0.34	0.68
6430503K07Rik	-2.5	0.013	0.028	-0.04	0.86	0.9	2	0.0062	0.045	4.5	0.00012	0.0079
6430531B16Rik	-1.7	0.13	0.21	0.21	0.67	0.9	-0.65	0.16	0.46	1.1	0.2	0.5
6430550D23Rik	-1.9	0.062	0.11	-0.2	0.55	0.9	-0.66	0.15	0.42	1.2	0.051	0.17
6430571L13Rik	-0.84	0.11	0.18	1.8	0.0049	0.083	1.4	0.0025	0.027	2.2	0.004	0.031
6430573F11Rik	-0.23	0.31	0.41	0.06	0.89	0.92	2.6	0.00052	0.013	2.8	0.00016	0.0083
6430628N08Rik	0.16	0.002	0.0048	1.1	0.33	0.84	0.06	0.77	0.8	-0.1	0.64	0.68
6430710C18Rik	-1.4	0.41	0.52	0.76	0.52	0.9	-1.1	0.34	0.72	0.32	0.85	0.87
6530401F13Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.85	0.26	0.59	1.5	0.0028	0.025
6530402F18Rik	0.2	0.077	0.14	4.3	0.0071	0.099	5.3	0.0028	0.029	5.1	0.0029	0.026
6530403G13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
6530409C15Rik	-0.21	0.88	0.91	-0.04	0.86	0.9	0.85	0.26	0.59	1.1	0.31	0.67
6720401G13Rik	-0.43	0.11	0.18	-0.65	0.035	0.23	0.36	0.13	0.38	0.79	0.016	0.074
6720416L17Rik	0.79	0.29	0.4	2.2	0.15	0.59	3.8	0.041	0.16	3.1	0.065	0.21
6720489N17Rik	0.39	0.064	0.12	0.3	0.43	0.9	0.12	0.5	0.8	-0.27	0.18	0.47
6820408C15Rik	-0.45	0.31	0.41	0.68	0.057	0.31	0.1	0.71	0.8	0.55	0.22	0.54
6820431F20Rik	-0.39	0.017	0.037	0.63	0.31	0.83	0.2	0.61	0.8	0.59	0.18	0.48
7330404K18Rik	0.16	0.002	0.0048	-0.84	0.23	0.75	-0.73	0.26	0.59	-0.89	0.19	0.48
7420426K07Rik	0.16	0.002	0.0048	0.51	0.46	0.9	-2.5	0.00052	0.013	-2.7	0.00045	0.011
7420461P10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
7530416G11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
7530422B04Rik	-2	0.051	0.097	-0.03	0.98	0.98	-0.73	0.37	0.77	1.3	0.21	0.51
7SK	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
8030411F24Rik	0.16	0.002	0.0048	0.46	0.78	0.9	-1.8	0.26	0.59	-1.9	0.23	0.55
8030423F21Rik	1.9	0.1	0.17	0.75	0.3	0.82	2.6	0.0011	0.019	0.69	0.34	0.68
8030423J24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
8030443G20Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
8030451A03Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
8030453O22Rik	2.9	0.051	0.096	-1.2	0.47	0.9	-0.6	0.57	0.8	-3.5	0.037	0.14
8030462N17Rik	0.28	0.032	0.064	-0.12	0.34	0.86	-0.86	0.0016	0.022	-1.1	0.00099	0.015
8030474K03Rik	0.27	0.57	0.65	0.69	0.12	0.51	1.1	0.02	0.098	0.81	0.047	0.16
8430403D17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
8430408G22Rik	-1.1	0.13	0.21	-1.4	0.45	0.9	1.5	0.11	0.33	2.7	0.015	0.071
8430410A17Rik	0.38	0.012	0.026	-1.9	0.0022	0.062	-2.2	0.001	0.018	-2.6	0.00056	0.012
8430419K02Rik	-0.45	0.47	0.55	2	0.23	0.76	2.3	0.17	0.48	2.7	0.12	0.35
8430419L09Rik	-0.76	0.034	0.068	1.2	0.0016	0.056	0.39	0.022	0.1	1.2	0.0038	0.03
8430423G03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
8430427H17Rik	-0.76	0.079	0.14	1.5	0.00075	0.045	2.2	2.7e-05	0.008	2.9	0.00043	0.011
8430429K09Rik	-0.19	0.33	0.43	1.1	0.011	0.12	1.6	0.0045	0.037	1.8	0.0018	0.02
8430432A02Rik	-2.8	0.1	0.17	2.3	0.0011	0.049	1.2	0.26	0.59	4	0.00018	0.0086
8430436N08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
8430437L04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9030025P20Rik	-0.13	0.62	0.7	-0.09	0.77	0.9	0.41	0.22	0.57	0.54	0.19	0.49
9030204H09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
9030612E09Rik	-1.9	0.0077	0.017	-0.04	0.86	0.9	2.6	0.0011	0.019	4.5	7.2e-05	0.007
9030617O03Rik	0.14	0.84	0.88	0.45	0.37	0.9	-0.13	0.81	0.84	-0.27	0.64	0.69
9030619P08Rik	0.95	0.29	0.4	2.2	0.017	0.15	0.85	0.26	0.59	-0.1	0.64	0.68
9030622O22Rik	-2	0.097	0.16	-0.46	0.71	0.9	5.7	0.0014	0.021	7.6	0.00056	0.012
9030624G23Rik	0.23	0.8	0.85	0.34	0.64	0.9	-0.27	0.75	0.8	-0.5	0.35	0.68
9030624J02Rik	-0.22	0.11	0.18	0.57	0.017	0.15	0.61	0.0042	0.036	0.83	0.0033	0.027
9130008F23Rik	0.29	0.58	0.66	-2.3	0.097	0.44	-2.1	0.0016	0.022	-2.4	0.008	0.047
